id	label	source
http://eurovoc.europa.eu/2890	REPATRIATION OF CAPITAL	EUROVOC
http://eurovoc.europa.eu/2906	REINSURANCE	EUROVOC
http://eurovoc.europa.eu/2926	RECOMMENDATION	EUROVOC
http://eurovoc.europa.eu/2927	RECOMMENDATION (EU)	EUROVOC
http://eurovoc.europa.eu/2933	ECONOMIC RECONSTRUCTION	EUROVOC
http://eurovoc.europa.eu/3400	ECONOMIC RECOVERY	EUROVOC
http://eurovoc.europa.eu/2964	SUMMARY PROCEDURE	EUROVOC
http://eurovoc.europa.eu/2966	REFERENDUM	EUROVOC
http://eurovoc.europa.eu/2388	POLITICAL ARBITRATION	EUROVOC
http://eurovoc.europa.eu/4216	SELF-DETERMINATION	EUROVOC
http://eurovoc.europa.eu/527	CONSTITUTIONAL LAW	EUROVOC
http://eurovoc.europa.eu/8422	DIRECT DEMOCRACY	EUROVOC
http://eurovoc.europa.eu/3004	DEMERGER	EUROVOC
http://eurovoc.europa.eu/3012	COMMERCIAL MEDIA	EUROVOC
http://eurovoc.europa.eu/3018	VIDEOPHONE CONFERENCE	EUROVOC
http://eurovoc.europa.eu/4430	TELEMATICS	EUROVOC
http://eurovoc.europa.eu/3021	PAY TELEVISION	EUROVOC
http://eurovoc.europa.eu/3036	MULTIPLE OFFICE HOLDING	EUROVOC
http://eurovoc.europa.eu/3049	PRIVILEGE	EUROVOC
http://eurovoc.europa.eu/2246	MEMBER OF PARLIAMENT	EUROVOC
http://eurovoc.europa.eu/6893	STATUS OF THE PERSON ELECTED	EUROVOC
http://eurovoc.europa.eu/3090	LARGE VEHICLE	EUROVOC
http://eurovoc.europa.eu/3098	DESTINATION OF TRANSPORT	EUROVOC
http://eurovoc.europa.eu/3102	REGULATION (EU)	EUROVOC
http://eurovoc.europa.eu/2247	APPLICATION OF EU LAW	EUROVOC
http://eurovoc.europa.eu/3107	TRAFFIC CONTROL	EUROVOC
http://eurovoc.europa.eu/4515	INLAND WATERWAY TRANSPORT	EUROVOC
http://eurovoc.europa.eu/3129	SHIPPING POLICY	EUROVOC
http://eurovoc.europa.eu/3130	MARITIME CONFERENCE	EUROVOC
http://eurovoc.europa.eu/3132	DUMPING OF WASTE	EUROVOC
http://eurovoc.europa.eu/2535	MARINE POLLUTION	EUROVOC
http://eurovoc.europa.eu/3141	SEISMIC MONITORING	EUROVOC
http://eurovoc.europa.eu/4176	SEISMOLOGY	EUROVOC
http://eurovoc.europa.eu/5890	EARTHQUAKE	EUROVOC
http://eurovoc.europa.eu/3189	COUNTERTRADE	EUROVOC
http://eurovoc.europa.eu/3194	REFLATION	EUROVOC
http://eurovoc.europa.eu/5675	EU GROWTH STRATEGY	EUROVOC
http://eurovoc.europa.eu/3195	INTERMEDIATE GOODS	EUROVOC
http://eurovoc.europa.eu/5147	FACTOR OF PRODUCTION	EUROVOC
http://eurovoc.europa.eu/3205	THEORY OF MARKETING	EUROVOC
http://eurovoc.europa.eu/3210	SELLING AT A LOSS	EUROVOC
http://eurovoc.europa.eu/2685	REDUCED PRICE	EUROVOC
http://eurovoc.europa.eu/3212	AFFILIATED RETAILING	EUROVOC
http://eurovoc.europa.eu/5	RETAIL TRADE	EUROVOC
http://eurovoc.europa.eu/3213	ITINERANT TRADE	EUROVOC
http://eurovoc.europa.eu/4665	DOOR-TO-DOOR SELLING	EUROVOC
http://eurovoc.europa.eu/4669	DIRECT SELLING	EUROVOC
http://eurovoc.europa.eu/3217	WHOLESALE TRADING CENTRE	EUROVOC
http://eurovoc.europa.eu/6	WHOLESALE TRADE	EUROVOC
http://eurovoc.europa.eu/3230	DISCOUNT RATE	EUROVOC
http://eurovoc.europa.eu/2495	CREDIT POLICY	EUROVOC
http://eurovoc.europa.eu/3231	CREDIT CONTROL	EUROVOC
http://eurovoc.europa.eu/3234	INTRA-EU RELATIONS	EUROVOC
http://eurovoc.europa.eu/4063	EUROPEAN UNION MEMBERSHIP	EUROVOC
http://eurovoc.europa.eu/3244	CO-INSURANCE	EUROVOC
http://eurovoc.europa.eu/3266	BRACKET RATE	EUROVOC
http://eurovoc.europa.eu/2633	BRACKET PRICE	EUROVOC
http://eurovoc.europa.eu/3279	TEACHING SOFTWARE	EUROVOC
http://eurovoc.europa.eu/781	PROGRAMMED LEARNING	EUROVOC
http://eurovoc.europa.eu/3301	ONE-PARENT FAMILY	EUROVOC
http://eurovoc.europa.eu/2238	SINGLE PARENT	EUROVOC
http://eurovoc.europa.eu/3312	PARENTAL AUTHORITY	EUROVOC
http://eurovoc.europa.eu/3322	MIGRATION FOR SETTLEMENT PURPOSES	EUROVOC
http://eurovoc.europa.eu/1953	VOTING METHOD	EUROVOC
http://eurovoc.europa.eu/3388	CEUTA AND MELILLA	EUROVOC
http://eurovoc.europa.eu/341	BUDGETARY DISCHARGE	EUROVOC
http://eurovoc.europa.eu/3417	REQUISITIONING OF WORKERS	EUROVOC
http://eurovoc.europa.eu/342	SOUTHERN AFRICA	EUROVOC
http://eurovoc.europa.eu/3421	STRATEGIC NUCLEAR WEAPON	EUROVOC
http://eurovoc.europa.eu/3454	NUCLEAR NON-PROLIFERATION	EUROVOC
http://eurovoc.europa.eu/411	DISARMAMENT	EUROVOC
http://eurovoc.europa.eu/3457	NATURE RESERVE	EUROVOC
http://eurovoc.europa.eu/3466	SIGNATURE OF AN AGREEMENT	EUROVOC
http://eurovoc.europa.eu/3461	INTERNATIONAL AGREEMENT	EUROVOC
http://eurovoc.europa.eu/3470	RESOLUTION	EUROVOC
http://eurovoc.europa.eu/3484	RESOLUTION (EU)	EUROVOC
http://eurovoc.europa.eu/3491	LEGAL COOPERATION	EUROVOC
http://eurovoc.europa.eu/2897	APPROXIMATION OF LAWS	EUROVOC
http://eurovoc.europa.eu/3510	PEACE ZONE	EUROVOC
http://eurovoc.europa.eu/3532	UPDATING OF SKILLS	EUROVOC
